youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
22800314,228003,0,5,0,3,5,0,2,3,5
22800315,228003,1,5,0,2,3,0,2,2,3
22800316,228003,1,1,0,2,2,0,2,1,2
22800318,228003,0,5,0,6,5,0,3,2,5
22800319,228003,1,4,0,4,5,0,4,1,5
22800323,228003,2,2,0,3,5,0,2,3,5
22800326,228003,1,5,0,4,4,0,3,2,4
22800327,228003,1,5,0,3,3,0,3,1,3
22800328,228003,0,5,0,3,3,0,2,2,3
22800330,228003,1,5,0,3,5,0,3,2,5
22800331,228003,2,5,0,4,5,0,3,2,5
23270110,232701,1,2,0,4,4,0,3,2,4
23270112,232701,0,5,0,6,4,0,3,2,4
23270113,232701,3,4,0,1,3,0,0,4,3
23270114,232701,14,2,0,0,5,0,0,5,5
23270115,232701,0,3,0,6,5,0,4,1,5
23270116,232701,12,5,0,1,2,0,0,3,2
23270117,232701,2,4,0,2,2,0,1,2,2
23270119,232701,1,5,0,3,5,0,3,2,5
23270120,232701,0,5,0,4,5,0,2,3,5
23270122,232701,0,4,0,5,5,0,4,1,5
23270123,232701,0,4,0,4,5,0,3,2,5
23270124,232701,0,4,0,3,5,0,3,2,5
23270125,232701,5,3,0,1,4,0,0,5,4
23270126,232701,14,2,0,0,4,0,0,5,4
23270310,232703,0,1,0,5,4,0,4,1,4
23270312,232703,2,1,0,2,3,0,2,2,3
23270313,232703,6,2,0,3,4,0,3,2,4
23270314,232703,1,4,0,5,4,0,4,1,4
23270315,232703,3,5,0,5,3,0,3,1,3
23270316,232703,3,3,0,5,3,0,3,1,3
23270317,232703,10,1,0,0,3,0,0,4,3
23270319,232703,4,3,0,3,5,0,3,2,5
23270320,232703,2,5,0,5,5,0,5,0,5
23270321,232703,10,3,0,2,4,0,2,3,4
23270322,232703,1,5,0,2,2,0,2,1,2
23270323,232703,1,1,0,6,5,0,5,0,5
23460111,234601,0,5,0,1,3,0,1,3,3
23460112,234601,4,5,0,2,5,0,2,3,5
23460113,234601,0,3,0,1,4,0,0,5,4
23460114,234601,4,2,0,2,5,0,2,3,5
23460115,234601,7,5,0,4,3,0,3,1,3
23460116,234601,1,5,0,2,4,0,1,4,4
23460119,234601,3,5,0,3,5,0,2,3,5
23460120,234601,2,5,0,2,5,0,2,3,5
24330210,243302,0,5,0,3,5,0,3,2,5
24330211,243302,2,0,0,3,5,0,3,2,5
24330217,243302,0,3,0,3,5,0,2,3,5
24330218,243302,0,5,0,3,5,0,2,3,5
24330219,243302,2,3,0,2,5,0,0,5,5
24330220,243302,0,3,0,3,5,0,2,3,5
24330223,243302,3,2,0,0,2,0,0,3,2
24330225,243302,0,5,0,0,2,0,0,3,2
24330227,243302,1,5,0,2,1,0,1,1,1
24330228,243302,3,4,0,1,5,0,1,4,5
24330312,243303,1,2,0,1,2,0,1,2,2
24330314,243303,0,1,0,1,5,0,1,4,5
