youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
21730211,5,1,2,2,1,4,0,0
21730212,5,1,9,0,5,0,0,0
21730213,3,3,1,5,1,3,0,0
21730215,3,4,1,11,0,4,0,0
21730217,5,5,2,0,2,3,0,0
21730219,4,5,5,1,3,2,0,0
21730220,5,5,6,0,5,0,0,0
21730221,5,3,3,0,2,3,0,0
21730226,5,3,4,4,4,1,0,0
21730227,5,0,2,2,2,3,0,0
21730228,4,0,4,1,2,3,0,0
21730229,4,0,3,0,2,3,0,1
21730301,1,0,0,2,0,2,0,0
21730302,5,0,5,0,3,2,0,1
21730304,4,4,2,1,1,4,0,0
21730305,4,5,2,0,1,4,0,0
21730306,4,4,2,3,2,3,0,0
21730308,5,1,2,2,2,3,0,0
21730312,5,2,5,1,3,2,0,0
21730313,4,3,2,2,2,3,0,0
21730321,3,5,0,4,0,4,0,0
